player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Romain Perraud,2025,26.0,DF,La Liga,5000000.0,15.16001173550542,3836271.4443889973,-1163728.5556110027
Ibrahima Diallo,2022,22.0,MF,Premier League,10000000.0,15.994242608640146,8835095.698757894,-1164904.3012421057
Eric Martel,2021,18.0,MF,Bundesliga,1800000.0,13.358776826693704,633347.9586353388,-1166652.0413646612
Pablo MarÃ­,2023,28.0,DF,Serie A,5000000.0,15.15905065395411,3832586.244889184,-1167413.755110816
Olivier Deman,2024,24.0,DF,Bundesliga,5000000.0,15.158968151765317,3832270.061095848,-1167729.9389041518
Josh Brownhill,2022,25.0,MF,Premier League,7000000.0,15.578798073824732,5831576.318688628,-1168423.6813113717
Marcel Lotka,2023,21.0,GK,Bundesliga,1500000.0,12.707844342819671,330327.9789660576,-1169672.0210339425
Fabio Depaoli,2023,25.0,DF,Serie A,3000000.0,14.419327194874283,1829085.4543030648,-1170914.5456969352
Waldemar Anton,2023,26.0,DF,Bundesliga,4500000.0,15.017925340074939,3328142.9695708444,-1171857.0304291556
RÃºben Vezo,2022,27.0,DF,La Liga,4000000.0,14.855071066484829,2827972.870775765,-1172027.1292242352
MiloÅ¡ VeljkoviÄ,2021,24.0,DF,Bundesliga,4500000.0,15.016669964102356,3323967.519026656,-1176032.4809733438
Wesley SaÃ¯d,2025,29.0,FW,Ligue 1,3500000.0,14.658264660848603,2322754.2827409594,-1177245.7172590406
Omar Marmoush,2022,22.0,FW,Bundesliga,6000000.0,15.388456578260943,4820828.5559466705,-1179171.4440533295
Jonas Hector,2023,32.0,DF,Bundesliga,3500000.0,14.657105244908283,2320062.8038139734,-1179937.1961860266
Conor Bradley,2025,21.0,DF,Premier League,20000000.0,16.75043280774482,18820038.81607283,-1179961.183927171
Youssouf KonÃ©,2021,25.0,DF,Ligue 1,1600000.0,12.945361404849208,418888.0659789101,-1181111.93402109
Juan BrandÃ¡riz,2020,20.0,DF,La Liga,1800000.0,13.335088824020206,618521.4848663139,-1181478.5151336861
Oliver Christensen,2022,22.0,GK,Bundesliga,1500000.0,12.67094088953433,318359.8890580079,-1181640.1109419921
Wojciech SzczÄsny,2024,34.0,GK,Serie A,6000000.0,15.387759743946011,4817470.406658368,-1182529.5933416318
Nathanael Mbuku,2024,22.0,FW,Bundesliga,2000000.0,13.612781946323054,816498.7999006936,-1183501.2000993064
